机柜	节点号	端口	IP地址	备注1
H1-05	机框-90.7	G1/07	10.133.80.39	已交付
H1-05	机框-90.8	G1/08	10.133.80.40	已交付
H1-05	机框-91.1	G1/09	10.133.80.41	已交付
H1-05	机框-91.2	G1/10	10.133.80.42	已交付
H1-05	机框-91.3	G1/11	10.133.80.43	已交付
H1-05	机框-91.4	G1/12	10.133.80.44	已交付
H1-05	机框-91.5	G1/13	10.133.80.45	已交付
H1-05	机框-91.6	G1/14	10.133.80.46	已交付
H1-05	机框-91.7	G1/15	10.133.80.47	2021.02.08退还
H1-05	机框-91.8	G1/16	10.133.80.48	已交付
H1-05	机框-92.1	G1/17	10.133.80.49	2021.02.08退还
H1-05	机框-92.2	G1/18	10.133.80.50	已交付
H1-05	机框-92.3	G1/19	10.133.80.51	已交付
H1-05	机框-92.4	G1/20	10.133.80.52	已交付
H1-05	机框-92.5	G1/21	10.133.80.53	已交付
H1-05	机框-92.6	G1/22	10.133.80.54	已交付
H1-05	机框-92.7	G1/23	10.133.80.55	已交付
H1-05	机框-92.8	G1/24	10.133.80.56	已交付
H1-05	机框-93.1	G1/25	10.133.80.57	已交付
H1-05	机框-93.2	G1/26	10.133.80.58	已交付
H1-05	机框-93.3	G1/27	10.133.80.59	已交付
H1-05	机框-93.4	G1/28	10.133.80.60	2021.02.08退还
H1-05	机框-93.5	G1/29	10.133.80.61	已交付
H1-05	机框-93.6	G1/30	10.133.80.62	已交付
H1-05	机框-93.7	G1/31	10.133.80.63	已交付
H1-05	机框-93.8	G1/32	10.133.80.64	已交付
H1-05	机框-94.1	G1/33	10.133.80.65	已交付
H1-05	机框-94.2	G1/34	10.133.80.66	已交付
H1-05	机框-94.3	G1/35	10.133.80.67	已交付
H1-05	机框-94.4	G1/36	10.133.81.225	第二批交付
H1-05	机框-94.5	G1/37	10.133.80.69	已交付
H1-05	机框-94.6	G1/38	10.133.80.70	已交付
H1-05	机框-94.7	G1/39	10.133.80.71	已交付
H1-05	机框-94.8	G1/40	10.133.80.72	已交付
H1-07	机框-95.1	G1/01	10.133.80.73	已交付
H1-07	机框-95.2	G1/02	10.133.80.74	已交付
H1-07	机框-95.3	G1/03	10.133.80.75	已交付
H1-07	机框-95.4	G1/04	10.133.80.76	2021.02.08退还
H1-07	机框-95.5	G1/05	10.133.80.77	已交付
H1-07	机框-95.6	G1/06	10.133.80.78	2021.02.08退还
H1-07	机框-95.7	G1/07	10.133.80.79	已交付
H1-07	机框-95.8	G1/08	10.133.80.80	已交付
H1-07	机框-96.1	G1/09	10.133.80.81	已交付
H1-07	机框-96.2	G1/10	10.133.80.82	已交付
H1-07	机框-96.3	G1/11	10.133.80.83	已交付
H1-07	机框-96.4	G1/12	10.133.80.84	已交付
H1-07	机框-96.5	G1/13	10.133.80.85	已交付
H1-07	机框-96.6	G1/14	10.133.80.86	已交付
H1-07	机框-96.7	G1/15	10.133.80.87	已交付
H1-07	机框-96.8	G1/16	10.133.80.88	已交付
H1-07	机框-97.1	G1/17	10.133.80.89	已交付
H1-07	机框-97.2	G1/18	10.133.80.90	已交付
H1-07	机框-97.3	G1/19	10.133.80.91	已交付
H1-07	机框-97.4	G1/20	10.133.80.92	已交付
H1-07	机框-97.5	G1/21	10.133.80.93	已交付
H1-07	机框-97.6	G1/22	10.133.80.94	已交付
H1-07	机框-97.7	G1/23	10.133.80.95	已交付
H1-07	机框-97.8	G1/24	10.133.80.96	已交付
H1-07	机框-98.1	G1/25	10.133.80.97	已交付
H1-07	机框-98.2	G1/26	10.133.80.98	已交付
H1-07	机框-98.3	G1/27	10.133.80.99	已交付
H1-07	机框-98.4	G1/28	10.133.80.100	已交付
H1-07	机框-98.5	G1/29	10.133.80.101	已交付
H1-07	机框-98.6	G1/30	10.133.80.102	已交付
H1-07	机框-98.7	G1/31	10.133.80.103	已交付
H1-07	机框-98.8	G1/32	10.133.80.104	已交付
H1-07	机框-99.1	G1/33	10.133.80.105	已交付
H1-07	机框-99.2	G1/34	10.133.80.106	已交付
H1-07	机框-99.3	G1/35	10.133.80.107	已交付
H1-07	机框-99.4	G1/36	10.133.80.108	已交付
H1-07	机框-99.5	G1/37	10.133.80.109	已交付
H1-07	机框-99.6	G1/38	10.133.80.110	已交付
H1-07	机框-99.7	G1/39	10.133.80.111	已交付
H1-07	机框-99.8	G1/40	10.133.80.112	已交付
H1-09	机框-100.1	G1/01	10.133.80.113	已交付
H1-09	机框-100.2	G1/02	10.133.80.114	已交付
H1-09	机框-100.3	G1/03	10.133.80.115	已交付
H1-09	机框-100.4	G1/04	10.133.80.116	已交付
H1-09	机框-100.5	G1/05	10.133.80.117	已交付
H1-09	机框-100.6	G1/06	10.133.80.118	已交付
H1-09	机框-100.7	G1/07	10.133.81.226	2021.02.08退还
H1-09	机框-100.8	G1/08	10.133.80.120	已交付
H1-09	机框-101.1	G1/09	10.133.80.121	已交付
H1-09	机框-101.2	G1/10	10.133.80.122	已交付
H1-09	机框-101.3	G1/11	10.133.80.123	已交付
H1-09	机框-101.4	G1/12	10.133.80.124	已交付
H1-09	机框-101.5	G1/13	10.133.80.125	已交付
H1-09	机框-101.6	G1/14	10.133.80.126	已交付
H1-09	机框-101.7	G1/15	10.133.80.127	已交付
H1-09	机框-101.8	G1/16	10.133.80.128	已交付
H1-09	机框-102.1	G1/17	10.133.80.129	已交付
H1-09	机框-102.2	G1/18	10.133.80.130	已交付
H1-09	机框-102.3	G1/19	10.133.80.131	已交付
H1-09	机框-102.4	G1/20	10.133.80.132	已交付
H1-09	机框-102.5	G1/21	10.133.80.133	已交付
H1-09	机框-102.6	G1/22	10.133.80.134	已交付
H1-09	机框-102.7	G1/23	10.133.80.135	已交付
H1-09	机框-102.8	G1/24	10.133.80.136	已交付
H1-09	机框-103.1	G1/25	10.133.80.137	已交付
H1-09	机框-103.2	G1/26	10.133.80.138	已交付
H1-09	机框-103.3	G1/27	10.133.80.139	已交付
H1-09	机框-103.4	G1/28	10.133.80.140	已交付
H1-09	机框-103.5	G1/29	10.133.80.141	已交付
H1-09	机框-103.6	G1/30	10.133.80.142	已交付
H1-09	机框-103.7	G1/31	10.133.80.143	已交付
H1-09	机框-103.8	G1/32	10.133.80.144	已交付
H1-09	机框-104.1	G1/33	10.133.80.145	已交付
H1-09	机框-104.2	G1/34	10.133.80.146	已交付
H1-09	机框-104.3	G1/35	10.133.80.147	已交付
H1-09	机框-104.4	G1/36	10.133.80.148	已交付
H1-09	机框-104.5	G1/37	10.133.80.149	已交付
H1-09	机框-104.6	G1/38	10.133.80.150	已交付
H1-09	机框-104.7	G1/39	10.133.80.151	2021.02.08退还
H1-09	机框-104.8	G1/40	10.133.80.152	已交付
H1-11	机框-105.1	G1/01	10.133.80.153	已交付
H1-11	机框-105.2	G1/02	10.133.80.154	已交付
H1-11	机框-105.3	G1/03	10.133.80.155	已交付
H1-11	机框-105.4	G1/04	10.133.80.156	已交付
H1-11	机框-105.5	G1/05	10.133.80.157	已交付
H1-11	机框-105.6	G1/06	10.133.80.158	已交付
H1-11	机框-105.7	G1/07	10.133.80.159	已交付
H1-11	机框-105.8	G1/08	10.133.80.160	已交付
H1-11	机框-106.1	G1/09	10.133.80.161	已交付
H1-11	机框-106.2	G1/10	10.133.80.162	已交付
H1-11	机框-106.3	G1/11	10.133.80.163	已交付
H1-11	机框-106.4	G1/12	10.133.80.164	已交付
H1-11	机框-106.5	G1/13	10.133.80.165	已交付
H1-11	机框-106.6	G1/14	10.133.80.166	已交付
H1-11	机框-106.7	G1/15	10.133.80.167	已交付
H1-11	机框-106.8	G1/16	10.133.80.168	已交付
H1-11	机框-107.1	G1/17	10.133.80.169	已交付
H1-11	机框-107.2	G1/18	10.133.80.170	已交付
H1-11	机框-107.3	G1/19	10.133.80.171	已交付
H1-11	机框-107.4	G1/20	10.133.80.172	已交付
H1-11	机框-107.5	G1/21	10.133.80.173	已交付
H1-11	机框-107.6	G1/22	10.133.80.174	已交付
H1-11	机框-107.7	G1/23	10.133.80.175	已交付
H1-11	机框-107.8	G1/24	10.133.80.176	已交付
H1-11	机框-108.1	G1/25	10.133.80.177	已交付
H1-11	机框-108.2	G1/26	10.133.80.178	已交付
H1-11	机框-108.3	G1/27	10.133.80.179	已交付
H1-11	机框-108.4	G1/28	10.133.80.180	已交付
H1-11	机框-108.5	G1/29	10.133.80.181	已交付
H1-11	机框-108.6	G1/30	10.133.80.182	已交付
H1-11	机框-108.7	G1/31	10.133.80.183	已交付
H1-11	机框-108.8	G1/32	10.133.80.184	已交付
H1-11	机框-109.1	G1/33	10.133.80.185	已交付
H1-11	机框-109.2	G1/34	10.133.80.186	已交付
H1-11	机框-109.3	G1/35	10.133.80.187	已交付
H1-11	机框-109.4	G1/36	10.133.80.188	已交付
H1-11	机框-109.5	G1/37	10.133.80.189	已交付
H1-11	机框-109.6	G1/38	10.133.80.190	已交付
H1-11	机框-109.7	G1/39	10.133.80.191	已交付
H1-11	机框-109.8	G1/40	10.133.80.192	已交付
H1-13	机框-110.1	G1/01	10.133.80.193	已交付
H1-13	机框-110.2	G1/02	10.133.80.194	已交付
H1-13	机框-110.3	G1/03	10.133.80.195	已交付
H1-13	机框-110.4	G1/04	10.133.80.196	已交付
H1-13	机框-110.5	G1/05	10.133.80.197	已交付
H1-13	机框-110.6	G1/06	10.133.80.198	已交付
H1-13	机框-110.7	G1/07	10.133.80.199	已交付
H1-13	机框-110.8	G1/08	10.133.80.200	已交付
H1-13	机框-111.1	G1/09	10.133.80.201	已交付
H1-13	机框-111.2	G1/10	10.133.80.202	已交付
H1-13	机框-111.3	G1/11	10.133.80.203	已交付
H1-13	机框-111.4	G1/12	10.133.80.204	已交付
H1-13	机框-111.5	G1/13	10.133.80.205	已交付
H1-13	机框-111.6	G1/14	10.133.80.206	已交付
H1-13	机框-111.7	G1/15	10.133.80.207	已交付
H1-13	机框-111.8	G1/16	10.133.80.208	已交付
H1-13	机框-112.1	G1/17	10.133.80.209	已交付
H1-13	机框-112.2	G1/18	10.133.80.210	已交付
H1-13	机框-112.3	G1/19	10.133.80.211	已交付
H1-13	机框-112.4	G1/20	10.133.80.212	已交付
H1-13	机框-112.5	G1/21	10.133.80.213	已交付
H1-13	机框-112.6	G1/22	10.133.80.214	已交付
H1-13	机框-112.7	G1/23	10.133.80.215	已交付
H1-13	机框-112.8	G1/24	10.133.80.216	已交付
H1-13	机框-113.1	G1/25	10.133.80.217	已交付
H1-13	机框-113.2	G1/26	10.133.80.218	已交付
H1-13	机框-113.3	G1/27	10.133.80.219	已交付
H1-13	机框-113.4	G1/28	10.133.80.220	2021.02.08退还
H1-13	机框-113.5	G1/29	10.133.80.221	已交付
H1-13	机框-113.6	G1/30	10.133.80.222	已交付
H1-13	机框-113.7	G1/31	10.133.80.223	已交付
H1-13	机框-113.8	G1/32	10.133.80.224	已交付
H1-13	机框-114.1	G1/33	10.133.80.225	已交付
H1-13	机框-114.2	G1/34	10.133.80.226	已交付
H1-13	机框-114.3	G1/35	10.133.80.227	已交付
H1-13	机框-114.4	G1/36	10.133.80.228	已交付
H1-13	机框-114.5	G1/37	10.133.80.229	已交付
H1-13	机框-114.6	G1/38	10.133.80.230	已交付
H1-13	机框-114.7	G1/39	10.133.80.231	已交付
H1-13	机框-114.8	G1/40	10.133.80.232	已交付
H1-15	机框-115.1	G1/01	10.133.80.233	已交付
H1-15	机框-115.2	G1/02	10.133.80.234	已交付
H1-15	机框-115.3	G1/03	10.133.80.235	已交付
H1-15	机框-115.4	G1/04	10.133.80.236	已交付
H1-15	机框-115.5	G1/05	10.133.80.237	已交付
H1-15	机框-115.6	G1/06	10.133.80.238	已交付
H1-15	机框-115.7	G1/07	10.133.80.239	已交付
H1-15	机框-115.8	G1/08	10.133.80.240	已交付
H1-15	机框-116.1	G1/09	10.133.80.241	已交付
H1-15	机框-116.2	G1/10	10.133.80.242	已交付
H1-15	机框-116.3	G1/11	10.133.80.243	已交付
H1-15	机框-116.4	G1/12	10.133.80.244	已交付
H1-15	机框-116.5	G1/13	10.133.80.245	已交付
H1-15	机框-116.6	G1/14	10.133.80.246	2021.02.08退还
H1-15	机框-116.7	G1/15	10.133.80.247	已交付
H1-15	机框-116.8	G1/16	10.133.80.248	已交付
H1-15	机框-117.1	G1/17	10.133.81.1	已交付
H1-15	机框-117.2	G1/18	10.133.81.2	已交付
H1-15	机框-117.3	G1/19	10.133.81.3	已交付
H1-15	机框-117.4	G1/20	10.133.81.4	已交付
H1-15	机框-117.5	G1/21	10.133.81.5	已交付
H1-15	机框-117.6	G1/22	10.133.81.6	已交付
H1-15	机框-117.7	G1/23	10.133.81.7	已交付
H1-15	机框-117.8	G1/24	10.133.81.8	已交付
H1-15	机框-118.1	G1/25	10.133.81.9	已交付
H1-15	机框-118.2	G1/26	10.133.81.10	已交付
H1-15	机框-118.3	G1/27	10.133.81.11	已交付
H1-15	机框-118.4	G1/28	10.133.81.12	已交付
H1-15	机框-118.5	G1/29	10.133.81.13	2021.02.08退还
H1-15	机框-118.6	G1/30	10.133.81.14	已交付
H1-15	机框-118.7	G1/31	10.133.81.15	已交付
H1-15	机框-118.8	G1/32	10.133.81.16	已交付
H1-15	机框-119.1	G1/33	10.133.81.17	已交付
H1-15	机框-119.2	G1/34	10.133.81.18	已交付
H1-15	机框-119.3	G1/35	10.133.81.19	2021.02.08退还
H1-15	机框-119.4	G1/36	10.133.81.20	已交付
H1-15	机框-119.5	G1/37	10.133.81.21	已交付
H1-15	机框-119.6	G1/38	10.133.81.22	已交付
H1-15	机框-119.7	G1/39	10.133.81.23	已交付
H1-15	机框-119.8	G1/40	10.133.81.24	已交付
H1-17	机框-120.1	G1/01	10.133.81.25	已交付
H1-17	机框-120.2	G1/02	10.133.81.26	2021.02.08退还
H1-17	机框-120.3	G1/03	10.133.81.27	已交付
H1-17	机框-120.4	G1/04	10.133.81.28	已交付
H1-17	机框-120.5	G1/05	10.133.81.29	已交付
H1-17	机框-120.6	G1/06	10.133.81.30	已交付
H1-17	机框-120.7	G1/07	10.133.81.31	已交付
H1-17	机框-120.8	G1/08	10.133.81.32	已交付
H1-17	机框-121.1	G1/09	10.133.81.33	已交付
H1-17	机框-121.2	G1/10	10.133.81.34	已交付
H1-17	机框-121.3	G1/11	10.133.81.35	已交付
H1-17	机框-121.4	G1/12	10.133.81.36	已交付
H1-17	机框-121.5	G1/13	10.133.81.37	已交付
H1-17	机框-121.6	G1/14	10.133.81.38	已交付
H1-17	机框-121.7	G1/15	10.133.81.39	已交付
H1-17	机框-121.8	G1/16	10.133.81.40	已交付
H1-17	机框-122.1	G1/17	10.133.81.41	已交付
H1-17	机框-122.2	G1/18	10.133.81.42	已交付
H1-17	机框-122.3	G1/19	10.133.81.43	已交付
H1-17	机框-122.4	G1/20	10.133.81.44	已交付
H1-17	机框-122.5	G1/21	10.133.81.45	已交付
H1-17	机框-122.6	G1/22	10.133.81.46	已交付
H1-17	机框-122.7	G1/23	10.133.81.47	已交付
H1-17	机框-122.8	G1/24	10.133.81.227	第二批交付
H1-17	机框-123.1	G1/25	10.133.81.49	已交付
H1-17	机框-123.2	G1/26	10.133.81.50	已交付
H1-17	机框-123.3	G1/27	10.133.81.51	已交付
H1-17	机框-123.4	G1/28	10.133.81.52	已交付
H1-17	机框-123.5	G1/29	10.133.81.53	已交付
H1-17	机框-123.6	G1/30	10.133.81.54	已交付
H1-17	机框-123.7	G1/31	10.133.81.55	已交付
H1-17	机框-123.8	G1/32	10.133.81.56	已交付
H1-17	机框-124.1	G1/33	10.133.81.57	已交付
H1-17	机框-124.2	G1/34	10.133.81.58	2021.02.08退还
H1-17	机框-124.3	G1/35	10.133.81.59	已交付
H1-17	机框-124.4	G1/36	10.133.81.60	已交付
H1-17	机框-124.5	G1/37	10.133.81.61	已交付
H1-17	机框-124.6	G1/38	10.133.81.62	已交付
H1-17	机框-124.7	G1/39	10.133.81.63	已交付
H1-17	机框-124.8	G1/40	10.133.81.64	已交付
G1-17	机框-75.1	G1/01	10.133.81.65	已交付
G1-17	机框-75.2	G1/02	10.133.81.66	已交付
G1-17	机框-75.3	G1/03	10.133.81.67	已交付
G1-17	机框-75.4	G1/04	10.133.81.68	已交付
G1-17	机框-75.5	G1/05	10.133.81.69	已交付
G1-17	机框-75.6	G1/06	10.133.81.70	已交付
G1-17	机框-75.7	G1/07	10.133.81.71	已交付
G1-17	机框-75.8	G1/08	10.133.81.72	已交付
G1-17	机框-76.1	G1/09	10.133.81.73	已交付
G1-17	机框-76.2	G1/10	10.133.81.74	已交付
G1-17	机框-76.3	G1/11	10.133.81.75	已交付
G1-17	机框-76.4	G1/12	10.133.81.76	已交付
G1-17	机框-76.5	G1/13	10.133.81.77	已交付
G1-17	机框-76.6	G1/14	10.133.81.78	已交付
G1-17	机框-76.7	G1/15	10.133.81.228	第二批交付
G1-17	机框-76.8	G1/16	10.133.81.80	已交付
G1-17	机框-77.1	G1/17	10.133.81.81	已交付
G1-17	机框-77.2	G1/18	10.133.81.82	已交付
G1-17	机框-77.3	G1/19	10.133.81.83	已交付
G1-17	机框-77.4	G1/20	10.133.81.84	已交付
G1-17	机框-77.5	G1/21	10.133.81.85	已交付
G1-17	机框-77.6	G1/22	10.133.81.86	已交付
G1-17	机框-77.7	G1/23	10.133.81.87	已交付
G1-17	机框-77.8	G1/24	10.133.81.88	已交付
G1-17	机框-78.1	G1/25	10.133.81.89	已交付
G1-17	机框-78.2	G1/26	10.133.81.90	已交付
G1-17	机框-78.3	G1/27	10.133.81.91	已交付
G1-17	机框-78.4	G1/28	10.133.81.92	已交付
G1-17	机框-78.5	G1/29	10.133.81.93	已交付
G1-17	机框-78.6	G1/30	10.133.81.94	已交付
G1-17	机框-78.7	G1/31	10.133.81.95	已交付
G1-17	机框-78.8	G1/32	10.133.81.96	已交付
G1-17	机框-79.1	G1/33	10.133.81.97	已交付
G1-17	机框-79.2	G1/34	10.133.81.98	已交付
G1-17	机框-79.3	G1/35	10.133.81.99	已交付
G1-17	机框-79.4	G1/36	10.133.81.100	已交付
G1-17	机框-79.5	G1/37	10.133.81.101	已交付
G1-17	机框-79.6	G1/38	10.133.81.102	已交付
G1-17	机框-79.7	G1/39	10.133.81.103	已交付
G1-17	机框-79.8	G1/40	10.133.81.104	已交付
G1-15	机框-70.1	G1/01	10.133.81.105	已交付
G1-15	机框-70.2	G1/02	10.133.81.106	已交付
G1-15	机框-70.3	G1/03	10.133.81.107	已交付
G1-15	机框-70.4	G1/04	10.133.81.108	已交付
G1-15	机框-70.5	G1/05	10.133.81.109	已交付
G1-15	机框-70.6	G1/06	10.133.81.110	已交付
G1-15	机框-70.7	G1/07	10.133.81.229	第二批交付
G1-15	机框-70.8	G1/08	10.133.81.230	第二批交付
G1-15	机框-71.1	G1/09	10.133.81.113	已交付
G1-15	机框-71.2	G1/10	10.133.81.114	已交付
G1-15	机框-71.3	G1/11	10.133.81.115	已交付
G1-15	机框-71.4	G1/12	10.133.81.116	已交付
G1-15	机框-71.5	G1/13	10.133.81.117	已交付
G1-15	机框-71.6	G1/14	10.133.81.118	已交付
G1-15	机框-71.7	G1/15	10.133.81.119	已交付
G1-15	机框-71.8	G1/16	10.133.81.120	已交付
G1-15	机框-72.1	G1/17	10.133.81.121	已交付
G1-15	机框-72.2	G1/18	10.133.81.122	已交付
G1-15	机框-72.3	G1/19	10.133.81.123	2021.02.08退还
G1-15	机框-72.4	G1/20	10.133.81.231	第二批交付
G1-15	机框-72.5	G1/21	10.133.81.125	已交付
G1-15	机框-72.6	G1/22	10.133.81.232	第二批交付
G1-15	机框-72.7	G1/23	10.133.81.127	已交付
G1-15	机框-72.8	G1/24	10.133.81.128	已交付
G1-15	机框-73.1	G1/25	10.133.81.233	第二批交付
G1-15	机框-73.2	G1/26	10.133.81.130	已交付
G1-15	机框-73.3	G1/27	10.133.81.131	已交付
G1-15	机框-73.4	G1/28	10.133.81.234	第二批交付
G1-15	机框-73.5	G1/29	10.133.81.133	已交付
G1-15	机框-73.6	G1/30	10.133.81.235	第二批交付
G1-15	机框-73.7	G1/31	10.133.81.135	已交付
G1-15	机框-73.8	G1/32	10.133.81.136	已交付
G1-15	机框-74.1	G1/33	10.133.81.137	已交付
G1-15	机框-74.2	G1/34	10.133.81.236	第二批交付
G1-15	机框-74.3	G1/35	10.133.81.139	已交付
G1-15	机框-74.4	G1/36	10.133.81.237	第二批交付
G1-15	机框-74.5	G1/37	10.133.81.141	已交付
G1-15	机框-74.6	G1/38	10.133.81.238	第二批交付
G1-15	机框-74.7	G1/39	10.133.81.143	已交付
G1-15	机框-74.8	G1/40	10.133.81.239	第二批交付
G1-13	机框-65.1	G1/01	10.133.81.145	已交付
G1-13	机框-65.2	G1/02	10.133.81.240	第二批交付
G1-13	机框-65.3	G1/03	10.133.81.147	已交付
G1-13	机框-65.4	G1/04	10.133.81.241	第二批交付
G1-13	机框-65.5	G1/05	10.133.81.149	已交付
G1-13	机框-65.6	G1/06	10.133.81.242	第二批交付
G1-13	机框-65.7	G1/07	10.133.81.151	已交付
G1-13	机框-65.8	G1/08	10.133.81.243	第二批交付
G1-13	机框-66.1	G1/09	10.133.81.244	第二批交付
G1-13	机框-66.2	G1/10	10.133.81.245	第二批交付
G1-13	机框-66.3	G1/11	10.133.81.246	第二批交付
G1-13	机框-66.4	G1/12	10.133.81.247	第二批交付
G1-13	机框-66.5	G1/13	10.133.81.248	第二批交付
G1-13	机框-66.6	G1/14	10.133.81.249	第二批交付
G1-13	机框-66.7	G1/15	10.133.81.250	第二批交付
G1-13	机框-66.8	G1/16	10.133.82.1	第二批交付
G1-13	机框-67.1	G1/17	10.133.82.2	第二批交付
G1-13	机框-67.2	G1/18	10.133.82.3	第二批交付
G1-13	机框-67.3	G1/19	10.133.82.4	第二批交付
G1-13	机框-67.4	G1/20	10.133.82.5	第二批交付
G1-13	机框-67.5	G1/21	10.133.82.6	第二批交付
G1-13	机框-67.6	G1/22	10.133.82.7	第二批交付
G1-13	机框-67.7	G1/23	10.133.82.8	2021.02.08退还
G1-13	机框-67.8	G1/24	10.133.82.9	第二批交付
G1-13	机框-68.1	G1/25	10.133.82.10	第二批交付
G1-13	机框-68.2	G1/26	10.133.82.11	第二批交付
G1-13	机框-68.3	G1/27	10.133.82.12	第二批交付
G1-13	机框-68.4	G1/28	10.133.82.13	第二批交付
G1-13	机框-68.5	G1/29	10.133.82.14	第二批交付
G1-13	机框-68.6	G1/30	10.133.82.15	第二批交付
G1-13	机框-68.7	G1/31	10.133.82.16	第二批交付
G1-13	机框-68.8	G1/32	10.133.82.17	2021.02.08退还
G1-13	机框-69.1	G1/33	10.133.82.18	第二批交付
G1-13	机框-69.2	G1/34	10.133.82.19	第二批交付
G1-13	机框-69.3	G1/35	10.133.82.20	第二批交付
G1-13	机框-69.4	G1/36	10.133.82.21	第二批交付
G1-13	机框-69.5	G1/37	10.133.82.22	第二批交付
G1-13	机框-69.6	G1/38	10.133.82.23	第二批交付
G1-13	机框-69.7	G1/39	10.133.82.24	第二批交付
G1-13	机框-69.8	G1/40	10.133.82.25	第二批交付
K1-01	机框-82.1	G1/01	10.133.81.185	已交付
K1-01	机框-82.2	G1/02	10.133.81.186	已交付
K1-01	机框-82.3	G1/03	10.133.81.188	已交付
K1-01	机框-82.4	G1/04	10.133.81.187	已交付
K1-01	机框-82.5	G1/05	10.133.81.189	已交付
K1-01	机框-82.6	G1/06	10.133.81.190	已交付
K1-01	机框-82.7	G1/07	10.133.81.191	已交付
K1-01	机框-82.8	G1/08	10.133.81.192	已交付
K1-01	机框-83.1	G1/09	10.133.81.193	已交付
K1-01	机框-83.2	G1/10	10.133.81.194	已交付
K1-01	机框-83.3	G1/11	10.133.81.195	已交付
K1-01	机框-83.4	G1/12	10.133.81.196	2021.02.08退还
K1-01	机框-83.5	G1/13	10.133.81.197	已交付
K1-01	机框-83.6	G1/14	10.133.81.198	已交付
K1-01	机框-83.7	G1/15	10.133.81.199	已交付
K1-01	机框-83.8	G1/16	10.133.81.200	已交付
K1-01	机框-84.1	G1/17	10.133.82.26	第二批交付
K1-01	机框-84.2	G1/18	10.133.81.202	已交付
K1-01	机框-84.3	G1/19	10.133.81.203	已交付
K1-01	机框-84.4	G1/20	10.133.81.204	已交付
K1-01	机框-84.5	G1/21	10.133.81.205	已交付
K1-01	机框-84.6	G1/22	10.133.81.206	已交付
K1-01	机框-84.7	G1/23	10.133.81.207	已交付
K1-01	机框-84.8	G1/24	10.133.81.208	2021.02.08退还
K1-01	机框-87.1	G1/25	10.133.81.209	已交付
K1-01	机框-87.2	G1/26	10.133.81.210	已交付
K1-01	机框-87.3	G1/27	10.133.81.211	已交付
K1-01	机框-87.4	G1/28	10.133.81.212	已交付
K1-01	机框-87.5	G1/29	10.133.81.213	已交付
K1-01	机框-87.6	G1/30	10.133.81.214	已交付
K1-01	机框-87.7	G1/31	10.133.81.215	已交付
K1-01	机框-87.8	G1/32	10.133.81.216	已交付
K1-01	机框-88.1	G1/33	10.133.81.217	已交付
K1-01	机框-88.2	G1/34	10.133.81.218	已交付
K1-01	机框-88.3	G1/35	10.133.81.219	已交付
K1-01	机框-88.4	G1/36	10.133.81.220	已交付
K1-01	机框-88.5	G1/37	10.133.81.221	已交付
K1-01	机框-88.6	G1/38	10.133.81.222	已交付
K1-01	机框-88.7	G1/39	10.133.81.223	已交付
K1-01	机框-88.8	G1/40	10.133.81.224	已交付
C3-05	1.1	1	10.133.82.27	第二批交付
C3-05	1.2	2	10.133.82.28	2021.02.08退还
